X,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40,y41,y42,y43,y44,y45,y46,y47,y48,y49
x0,"8,389","3,767","70,5","1,099","8,809","46,9",531,"85,4","8,376","4,923","9,536","5,753","8,833","9,211","9,675","9,641","74,6","9,663","4,065",856,"3,905","0,23","5,075","5,155","5,496",4,6,2,4,3,2,3,5,7,3,2,2,6,6,6,5,2,7,8,7,0,5,2,4,7
x1,"47,4","9,163","48,1","1,009","9,278","9,071","8,564","5,031","32,3","6,898","9,263","8,535","9,987","7,573","5,464","8,231","5,916","8,824","9,652","4,629","6,609","1,209","7,774","1,953","59,3",0,7,1,8,5,8,8,8,2,6,2,6,0,1,5,8,6,7,0,4,8,4,8,8,3
x2,"6,158","6,588","7,582","0,3","1,747","2,114","1,243","4,459","3,871","5,665","6,198",418,"1,071","7,628","9,209","6,888","6,914","46,9","3,676","8,198","3,964","8,039","4,352",538,"9,672",7,0,1,7,8,0,8,4,6,3,1,2,5,0,1,7,0,4,2,8,3,5,5,8,5
x3,"1,898","1,898","1,898","1,898","1,898",424,914,"6,463","8,526","9,342","1,898","1,898","4,586","63,4","3,454","5,415","1,263","6,098","1,639","2,253","46,4","2,815","67,8","9,655","7,482",3,1,5,3,3,7,6,6,2,2,3,7,4,8,0,4,5,5,2,1,5,1,5,2,2
x4,"7,698","61,7","7,053","7,257","9,015","6,186","7,166","8,938","5,961","2,446","2,489","3,114","5,839","5,548","1,193",219,"9,132","2,815","3,024","1,319","6,392","2,793","2,882","80,8","92,7",7,4,1,5,3,8,2,8,4,8,0,0,4,8,5,3,3,4,2,0,4,3,8,3,6
x5,"6,163","47,5",246,"9,825","3,603","95,2","3,775","2,184","70,7","8,942","7,356","1,923","5,423","7,417","9,916","7,259","9,874","8,054","2,056","9,171","9,463",38,"7,213","2,118","8,228",0,3,0,5,4,8,3,5,2,8,2,6,7,4,5,8,7,8,7,6,7,6,1,4,6
x6,"4,538","7,993","5,039","7,544","2,957","61,1","27,9","4,724","5,316","5,594","8,855","6,305","6,766","9,444","9,238","34,7","4,392","3,733","6,842","2,411","4,331","8,799","4,207","53,2","9,801",8,1,1,5,0,1,0,8,8,4,5,6,4,0,6,1,5,3,4,0,4,4,2,4,1
x7,208,"8,946","7,812","9,545","60,8","1,508",463,"4,541","7,299","4,691","8,692","4,746","3,621","9,002","5,174","8,557","5,902","7,101","3,067","6,058",235,"4,664","3,145","4,077","4,895",8,4,1,1,1,3,7,5,7,6,5,2,8,6,1,2,6,1,3,0,7,5,8,0,6
x8,"7,091","5,879","7,526","7,367","83,5","91,8","3,353","6,166","2,233","6,959","9,097","3,784","5,215",44,"1,941","6,519","6,429","7,676",342,"2,075","9,478","4,502","4,464","52,5","1,427",2,3,4,3,5,4,2,6,7,0,6,8,0,3,5,5,0,8,4,1,4,6,4,2,0
x9,265,"1,153","5,943","7,219","13,1","8,475","9,169","6,701","1,833","3,326","7,099","8,828","1,009","7,219","9,348","4,511","8,481","67,4","6,665",891,"1,278","7,856","5,799","6,884","36,9",2,4,5,8,3,7,7,2,1,4,4,8,2,3,6,8,2,8,4,2,2,7,0,6,1
x10,"6,574","8,767","2,054","9,361","2,272","3,156","7,782","6,087","2,935","9,479","7,298",367,"53,2","1,045","5,116","52,8","9,648","2,755","1,254","38,6","4,525","6,592","7,819","88,7","1,592",2,1,3,8,7,1,5,1,3,7,6,1,5,8,8,0,6,6,3,1,8,8,0,2,4
x11,"8,513","7,685","5,586","4,657",243,"4,032","4,463","5,035","5,716","65,9","3,839","9,283","8,729","2,997",34,"2,391","5,512","3,352","1,944","1,202","0,39","9,943","2,502","8,501","16,7",0,8,2,2,5,3,2,1,6,2,7,3,2,0,6,4,2,4,6,1,4,4,3,0,8
x12,"9,986","7,085","1,162","4,419","4,357","4,055","8,354","5,491","4,183","3,437","6,482","9,516","4,385","7,249","8,852","8,687","7,434","6,593",56,"2,061","9,483",684,"4,355",69,"7,469",0,3,8,7,3,2,4,4,3,0,4,7,3,7,7,4,2,8,8,0,5,4,1,5,8
x13,"5,434","2,682","3,995","5,054","6,187","2,335","6,054",887,801,"2,498","1,755","3,719","6,354",438,"63,6","7,203","2,777","8,134","2,325","1,446","4,398","2,021","7,434","2,538","4,197",7,5,5,7,2,0,7,3,3,1,6,5,3,7,8,3,3,0,0,0,2,3,6,1,8
x14,"2,079",766,"8,523","6,328","2,214",826,"6,819","3,834","5,856","5,932","2,917","65,4","9,149","5,976","43,8","3,387","8,749","2,328","6,783","8,254","6,926","9,155","9,619","1,312","28,1",1,2,0,8,7,8,5,2,1,4,1,2,0,5,0,2,7,4,7,5,5,6,8,2,5
x15,"37,5","1,152","7,233",808,"3,821","0,11","59,9","6,555","2,676","1,776","7,6","5,316","8,606","7,156","8,825","3,956","6,539","1,484","9,997","2,594","7,006","8,703","7,236",399,"3,224",2,5,6,5,4,5,5,4,1,5,6,1,5,7,0,3,4,5,5,4,6,8,3,7,3
x16,"32,4","1,229","2,867","2,553",894,"8,745","5,712",57,"3,865","4,294","3,313","9,738","1,821","3,928","5,038",965,"7,191",672,"18,7","9,468","1,478","4,931","1,667","84,6","4,646",6,8,8,0,8,1,1,5,5,0,4,3,2,5,2,1,1,8,5,3,6,1,4,8,3
x17,"3,365","7,278","3,349","7,557","5,683",722,"1,162","3,977",575,"3,457","7,463","9,897","8,505","7,239","9,153",53,"33,2","17,8",611,"6,077","4,247","1,858","2,451","5,684","6,319",2,1,2,5,3,5,1,1,4,1,2,6,8,4,4,0,7,0,2,8,1,2,4,8,6
x18,"4,076","2,129",304,"4,637","62,8","60,3","3,855","9,061","6,774","4,419","3,112","8,484","5,711","7,607","1,208","7,113","8,739","2,164","1,362","8,943","1,088","20,5","5,603","6,112","5,975",6,5,2,3,0,3,8,4,4,0,4,3,6,7,2,2,2,4,1,4,3,0,3,8,8
x19,"1,602","9,896","5,683","6,539","7,986",188,"2,418","8,343","3,275","4,275","5,331","9,855","1,345",407,"1,081",759,"3,287","4,193",213,"98,1","1,9","2,862","1,252","8,918","1,288",5,5,4,3,2,4,0,5,8,1,5,7,4,4,6,5,4,4,4,4,1,0,7,2,0
x20,"2,079","2,159","5,759",483,"5,724","4,122","4,972","7,909","7,333","7,492","4,663","70,9","2,928","3,687","5,566","2,361","7,554","1,473","3,529","2,585","7,357","8,723","5,893",149,"3,428",0,2,5,7,4,2,3,1,3,8,8,4,8,6,1,6,5,0,0,2,7,3,2,1,8
x21,"3,295",576,"5,283","6,539","1,729","9,077","7,507","9,123","8,558","44,7","4,435","54,7","80,8","2,997","7,135","7,661","24,5","5,175","3,088","2,685","8,157","6,278",344,"4,368","32,2",5,2,1,0,8,7,8,7,5,7,7,0,6,2,0,1,8,1,0,0,4,1,5,7,1
x22,"5,977","2,072","7,153","2,594","4,991","7,375",546,"1,208","1,828",33,"5,198","52,3","48,1","7,1","3,602","40,5","3,395","5,368","9,294","55,4","4,608",418,"3,385","2,451","3,521",7,7,7,7,1,7,4,4,6,6,8,8,4,0,6,3,7,7,2,5,7,3,2,1,5
x23,"5,175","6,034","27,2",735,"4,872","2,132","9,106","5,153","2,537","8,146","4,457","6,303","7,342","6,353","9,979","2,844","5,716","4,4","6,702","0,56","3,041","1,693",287,"1,711","2,857",6,7,1,0,3,6,3,2,4,5,6,2,6,1,1,0,8,6,6,1,0,2,6,8,8
x24,"8,253","6,542","5,263","6,592","2,775","2,647","2,353","7,369","5,927","7,975",892,"2,959","4,155","6,491","5,715",128,"4,551","1,965","9,074","8,286","22,4","3,168","3,863","9,478","3,722",8,7,3,7,8,8,3,4,4,5,6,6,4,6,7,5,0,2,3,2,5,1,5,4,3
x25,"4,493","9,084",127,651,"6,052","9,183","8,962","5,551","1,545","3,879","1,532","8,059","6,084","4,185","7,737","4,432","1,171","1,632","6,235","5,621","3,161","3,879",486,"8,7","4,994",1,0,6,1,3,6,1,3,3,8,3,7,8,1,4,3,8,5,4,4,3,0,8,4,5
x26,"7,677","7,386","1,387","2,735","8,629","47,7","61,2","3,501","6,633","2,236","7,828","24,5","9,486","3,094","5,561","9,654","2,968","7,975","2,742","1,625","91,2","3,923","9,878","13,7","5,274",0,2,5,0,7,1,2,5,8,2,3,1,1,2,8,7,7,7,3,6,3,5,8,7,2
