Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1728586938680,2370.8739318847656,3720.0000000000005,1,1.2875,2298.718948364258,3720.0000000000005,1,1.2875,2114.566177368164,3720.0000000000005,1,1.2875,2238.6192932128906,4650,0,1.2875,2132.0701904296875,3720.0000000000005,1,1.2875,2242.246124267578,3720.0000000000005,1,1.2875,2223.2090911865234,3720.0000000000005,1,1.2875,2160.640090942383,3720.0000000000005,1,1.2875,43046.55017089844,3790,3809,3744,400,4217,400,400,400,400,4641,400,3704,3714,4641,400,4391,0,0,0,3.0303030014038086,0,3.0303030014038086,2.941176414489746,3.0303030014038086,3.0303030014038086,9.090909004211426,0,0,0,6.25,3.0303030014038086,0,12282,809,9871,33,1,16621072384,4294963200,4426141696,0
199,1728586938680,2370.8758087158203,3720.0000000000005,1,1.3875,2298.7504272460938,4650,0,1.35,2114.597427368164,4650,0,1.35,2238.71142578125,4650,0,1.35,2132.235305786133,4650,0,1.35,2242.282913208008,4650,0,1.35,2223.2359161376953,4650,0,1.35,2160.6685180664063,4650,0,1.35,43047.039627075195,3790,3809,3744,400,4217,400,400,400,400,4641,400,3704,3714,4641,400,4391,0,0,0,3.0303030014038086,0,3.0303030014038086,2.941176414489746,3.0303030014038086,3.0303030014038086,9.090909004211426,0,0,0,6.25,3.0303030014038086,0,12282,809,9871,33,1,16621072384,4294963200,4426141696,0
200,1728586938880,2371.407684326172,3720.0000000000005,1,1.39375,2299.2477416992188,3720.0000000000005,1,1.39375,2115.097640991211,4650,1,1.39375,2239.224395751953,4650,0,1.39375,2133.941360473633,4650,0,1.39375,2242.7813262939453,3720.0000000000005,1,1.39375,2223.7461853027344,4650,0,1.39375,2161.1727752685547,3720.0000000000005,1,1.39375,43052.875411987305,3790,3809,3744,400,4217,400,400,400,400,4641,400,3704,3714,4641,400,4391,29.16666603088379,30.434782028198242,30.434782028198242,30.434782028198242,30.434782028198242,29.16666603088379,30.434782028198242,30.434782028198242,29.16666603088379,39.130435943603516,91.66667175292969,30.434782028198242,30.434782028198242,30.434782028198242,30.434782028198242,29.16666603088379,12282,809,9876,33,0,16621072384,4294963200,4448755712,0
199,1728586939081,2371.5438385009766,4650,0,1.3625,2299.379348754883,4650,0,1.3625,2115.2320098876953,4650,0,1.3625,2239.4300231933594,4650,0,1.3625,2135.520721435547,4650,0,1.3625,2242.948501586914,4650,0,1.3625,2223.8910522460938,4650,0,1.3625,2161.3057556152344,4650,0,1.3625,43056.36737060547,3790,3809,3744,400,4217,400,400,400,400,4641,400,3704,3714,4641,400,4391,10,5,10,9.523809432983398,5.263157844543457,10,5.263157844543457,5,10,15.000000953674316,95,14.285715103149414,10,5,5,5.263157844543457,12282,809,9883,33,0,16621072384,4294963200,4476600320,0
199,1728586939281,2371.9376373291016,3720.0000000000005,1,1.3,2299.7725524902344,3720.0000000000005,1,1.3,2115.627456665039,3720.0000000000005,1,1.3,2239.8257751464844,3720.0000000000005,1,1.3,2137.0848083496094,4650,0,1.3,2243.3492431640625,3720.0000000000005,1,1.3,2224.2862091064453,3720.0000000000005,1,1.3,2161.706008911133,3720.0000000000005,1,1.3,43061.373779296875,3790,3809,3744,400,4217,400,400,400,400,4641,400,3704,3714,4641,400,4391,26.3157901763916,30.000001907348633,25,26.3157901763916,28.571430206298828,26.3157901763916,28.571430206298828,30.000001907348633,26.3157901763916,25,100,25,30.000001907348633,30.000001907348633,30.000001907348633,28.571430206298828,12282,809,9884,33,1,16621072384,4294963200,4498808832,0
199,1728586939481,2371.9468536376953,3720.0000000000005,1,1.36875,2299.7763671875,3720.0000000000005,1,1.36875,2115.6353454589844,3720.0000000000005,1,1.36875,2239.8404083251953,3720.0000000000005,1,1.36875,2138.659637451172,4650,0,1.36875,2243.424362182617,4650,0,1.36875,2224.2967681884766,3720.0000000000005,1,1.36875,2161.715805053711,3720.0000000000005,1,1.36875,43063.990631103516,3790,3809,3744,400,4217,400,400,400,400,4641,400,3704,3714,4641,400,4391,0,0,0,0,0,0,0,0,0,0,100,5,0,0,0,0,12282,809,9891,33,0,16621072384,4294963200,4537761792,0
199,1728586939681,2371.9502563476563,3720.0000000000005,1,1.3,2299.780792236328,3720.0000000000005,1,1.3,2115.638870239258,3720.0000000000005,1,1.3875,2239.843994140625,3720.0000000000005,1,1.3875,2140.1961364746094,4650,0,1.3875,2243.498336791992,4650,0,1.3875,2224.318588256836,3720.0000000000005,1,1.3875,2161.7191009521484,3720.0000000000005,1,1.3875,43066.598541259766,3790,3809,3744,400,4217,400,400,400,400,4641,400,3704,3714,4641,400,4391,0,0,0,0,0,0,0,0,0,0,100,5,0,0,0,0,12282,809,9870,33,0,16621072384,4294963200,4564336640,0
199,1728586939881,2371.96923828125,3720.0000000000005,1,1.2875,2299.798309326172,3720.0000000000005,1,1.2875,2116.390640258789,4650,0,1.2875,2239.8466186523438,3720.0000000000005,1,1.2875,2140.6526794433594,3720.0000000000005,1,1.2875,2243.5830841064453,3720.0000000000005,1,1.2875,2224.3648071289063,3720.0000000000005,1,1.2875,2161.731185913086,3720.0000000000005,1,1.2875,43069.08755493164,3790,3809,3744,400,4217,400,400,400,400,4641,400,3704,3714,4641,400,4391,0,0,0,0,0,0,0,0,60.000003814697266,0,40,10,0,0,0,5,12282,996,11233,34,2,16621072384,4294963200,4707061760,0
199,1728586940081,2372.0491943359375,4650,1,1.2875,2299.7998962402344,3720.0000000000005,1,1.38125,2118.055862426758,4650,0,1.38125,2239.8489685058594,3720.0000000000005,1,1.38125,2140.655776977539,3720.0000000000005,1,1.38125,2243.584976196289,3720.0000000000005,1,1.38125,2224.5021209716797,3720.0000000000005,1,1.38125,2161.739044189453,3720.0000000000005,1,1.38125,43072.098709106445,3790,3809,3744,400,4217,400,400,400,400,4641,400,3704,3714,4641,400,4391,5,0,0,0,0,0,0,0,100,0,0,0,10,0,0,0,12282,998,14726,34,0,16621072384,4294963200,4721508352,0
199,1728586940281,2372.1292724609375,3720.0000000000005,1,1.29375,2299.8020629882813,3720.0000000000005,1,1.29375,2118.6659545898438,3720.0000000000005,1,1.38125,2239.851608276367,3720.0000000000005,1,1.38125,2141.140914916992,4650,0,1.38125,2243.5873260498047,3720.0000000000005,1,1.38125,2224.511184692383,3720.0000000000005,1,1.38125,2161.7439575195313,3720.0000000000005,1,1.38125,43074.48310852051,3790,3809,3744,400,4217,400,400,400,400,4641,400,3704,3714,4641,400,4391,9.523809432983398,0,0,0,0,0,0,0,35,0,65,0,0,0,0,0,12282,998,18154,34,0,16621072384,4294963200,4739571712,0
