Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729324938192,1747.1239776611328,4650,0,1.3625,1628.5819549560547,3720.0000000000005,1,1.3625,1481.4034271240234,3720.0000000000005,1,1.3625,4349.821914672852,3720.0000000000005,1,1.3625,1816.108154296875,3720.0000000000005,1,1.3625,3972.632339477539,3720.0000000000005,1,1.3625,2261.421371459961,3720.0000000000005,1,1.3625,4826.821075439453,3720.0000000000005,1,1.3625,42168.04942321777,4347,3808,4558,3879,4637,4641,400,4639,400,3751,3902,4641,4626,4640,400,400,10,3.4482758045196533,3.3333334922790527,6.896551609039307,6.6666669845581055,3.5714287757873535,0,6.45161247253418,3.3333334922790527,3.3333334922790527,6.896551609039307,6.6666669845581055,0,0,3.3333334922790527,3.4482758045196533,12282,503,6420,33,13,16621068288,57982050304,2567696384,0
199,1729324938192,1747.1912231445313,4650,0,1.38125,1628.5876770019531,3720.0000000000005,1,1.38125,1481.537857055664,4650,0,1.38125,4349.831344604492,4650,0,1.3375,1816.1188201904297,4650,0,1.3375,3972.63818359375,4650,0,1.3375,2261.4338989257813,4650,0,1.3375,4826.8248291015625,4650,0,1.3375,42168.37956237793,4347,3808,4558,3879,4637,4641,400,4639,400,3751,3902,4641,4626,4640,400,400,10,3.4482758045196533,3.3333334922790527,6.896551609039307,6.6666669845581055,3.5714287757873535,0,6.45161247253418,3.3333334922790527,3.3333334922790527,6.896551609039307,6.6666669845581055,0,0,3.3333334922790527,3.4482758045196533,12282,503,6420,33,13,16621068288,57982050304,2571796480,0
199,1729324938392,1748.658706665039,4650,0,1.39375,1629.1252899169922,3720.0000000000005,1,1.39375,1482.1843872070313,3720.0000000000005,1,1.39375,4350.310897827148,3720.0000000000005,1,1.39375,1816.6403198242188,3720.0000000000005,1,1.39375,3973.1874389648438,3720.0000000000005,1,1.35625,2261.9813690185547,3720.0000000000005,1,1.35625,4827.372299194336,3720.0000000000005,1,1.35625,42174.274505615234,4347,3808,4558,3879,4637,4641,400,4639,400,3751,3902,4641,4626,4640,400,400,39.130435943603516,29.16666603088379,43.4782600402832,30.434782028198242,30.434782028198242,33.333335876464844,33.333335876464844,30.434782028198242,30.434782028198242,21.7391300201416,30.434782028198242,31.81818199157715,33.333335876464844,30.434782028198242,66.66667175292969,31.81818199157715,12282,503,6299,33,12,16621068288,57982050304,2597826560,0
199,1729324938592,1750.291000366211,4650,0,1.275,1629.2173614501953,3720.0000000000005,1,1.275,1482.2894897460938,3720.0000000000005,1,1.275,4350.425369262695,3720.0000000000005,1,1.275,1816.7491455078125,3720.0000000000005,1,1.275,3973.7201538085938,3720.0000000000005,1,1.275,2262.0604553222656,3720.0000000000005,1,1.275,4827.538681030273,3720.0000000000005,1,1.275,42177.885330200195,4347,3808,4558,3879,4637,4641,400,4639,400,3751,3902,4641,4626,4640,400,400,10.526315689086914,0,5,0,0,10,0,0,0,5,5,28.571430206298828,5,4.761904716491699,100,4.761904716491699,12282,504,6505,33,33,16621068288,57982050304,2644856832,0
199,1729324938792,1751.8921203613281,4650,0,1.2625,1629.753173828125,3720.0000000000005,1,1.2625,1482.820785522461,3720.0000000000005,1,1.2625,4351.007720947266,4650,0,1.2625,1817.2752075195313,3720.0000000000005,1,1.2625,3974.2510528564453,3720.0000000000005,1,1.2625,2262.6546173095703,3720.0000000000005,1,1.2625,4828.103912353516,3720.0000000000005,1,1.2625,42183.89979553223,4347,3808,4558,3879,4637,4641,400,4639,400,3751,3902,4641,4626,4640,400,400,40,35,35,35,35,36.842105865478516,35,35,35,40,35,35,45,36.842105865478516,100,35,12282,504,6750,33,30,16621068288,57982050304,2666262528,0
199,1729324938992,1753.6495971679688,4650,0,1.36875,1629.823959350586,3720.0000000000005,1,1.36875,1482.9227142333984,3720.0000000000005,1,1.3625,4351.167877197266,4650,0,1.3625,1817.3142395019531,3720.0000000000005,1,1.3625,3974.440658569336,3720.0000000000005,1,1.3625,2262.8011627197266,3720.0000000000005,1,1.3625,4828.230194091797,3720.0000000000005,1,1.3625,42187.31872558594,4347,3808,4558,3879,4637,4641,400,4639,400,3751,3902,4641,4626,4640,400,400,10,0,5,0,0,5,0,5,0,5.263157844543457,4.761904716491699,0,9.523809432983398,4.761904716491699,100,5,12282,504,7028,33,30,16621068288,57982050304,2687111168,0
199,1729324939192,1755.160385131836,4650,0,1.39375,1629.8574523925781,3720.0000000000005,1,1.39375,1482.9852905273438,3720.0000000000005,1,1.39375,4351.211044311523,3720.0000000000005,1,1.39375,1817.3548431396484,3720.0000000000005,1,1.39375,3974.5166778564453,3720.0000000000005,1,1.39375,2262.839797973633,3720.0000000000005,1,1.39375,4828.309127807617,3720.0000000000005,1,1.39375,42190.206466674805,4347,3808,4558,3879,4637,4641,400,4639,400,3751,3902,4641,4626,4640,400,400,10,0,9.523809432983398,0,0,0,0,0,0,4.761904716491699,0,9.523809432983398,5,0,100,0,12282,504,7168,33,30,16621068288,57982050304,2703609856,0
199,1729324939392,1756.8745880126953,4650,0,1.3625,1629.9229583740234,3720.0000000000005,1,1.3625,1483.048110961914,3720.0000000000005,1,1.3625,4351.2623291015625,4650,0,1.3625,1817.4090423583984,3720.0000000000005,1,1.3625,3974.5265197753906,3720.0000000000005,1,1.3625,2262.870330810547,3720.0000000000005,1,1.3625,4828.366943359375,3720.0000000000005,1,1.3625,42193.13279724121,4347,3808,4558,3879,4637,4641,400,4639,400,3751,3902,4641,4626,4640,400,400,9.523809432983398,0,0,0,0,0,0,5,0,0,4.761904716491699,0,0,0,100,0,12282,504,7480,33,29,16621068288,57982050304,2769661952,0
199,1729324939592,1758.5473327636719,4650,0,1.2875,1630.0345153808594,3720.0000000000005,1,1.2875,1483.12158203125,3720.0000000000005,1,1.2875,4351.330490112305,3720.0000000000005,1,1.2875,1817.4980773925781,3720.0000000000005,1,1.2875,3974.565460205078,3720.0000000000005,1,1.38125,2262.9330444335938,3720.0000000000005,1,1.38125,4828.414825439453,3720.0000000000005,1,1.38125,42196.381286621094,4347,3808,4558,3879,4637,4641,400,4639,400,3751,3902,4641,4626,4640,400,400,9.523809432983398,0,0,0,0,0,0,5,0,0,4.761904716491699,0,0,0,100,0,12282,504,7702,33,31,16621068288,57982050304,2798411776,0
199,1729324939792,1760.5511474609375,4650,0,1.2875,1630.091567993164,3720.0000000000005,1,1.2875,1483.1682586669922,3720.0000000000005,1,1.2875,4351.367401123047,3720.0000000000005,1,1.2875,1817.6017761230469,3720.0000000000005,1,1.2875,3974.6080627441406,3720.0000000000005,1,1.2875,2262.9598236083984,3720.0000000000005,1,1.2875,4828.448699951172,3720.0000000000005,1,1.2875,42199.777587890625,4347,3808,4558,3879,4637,4641,400,4639,400,3751,3902,4641,4626,4640,400,400,5.128205299377441,0,2.5,2.5,2.5,0,0,2.5,0,2.5,0,2.4390242099761963,4.878048419952393,0,100,5,12282,504,7833,33,35,16621068288,57982050304,2798411776,0
