__run_id,__done,dataset,hardware,execution_time_(ms),peak_memory_(B),energy_consumption_(J),cpu_energy_(J),gpu_energy_(J),mean_cpu_utilization_(%),mean_gpu_utilization_(%),max_cpu_utilization_(%),max_gpu_utilization_(%)
run_0_repetition_0,DONE,GDS3900_CPM.csv,CPU,22409,2975342592,415.17104454687524,397.2214355468752,17.949609000000002,9.289022449207932,12.201754385964913,100.0,30
run_1_repetition_0,DONE,GDS3900_CPM.csv,GPU,2402,2789564416,102.15380995996094,40.99168395996094,61.16212600000001,11.34492654459817,17.714285714285715,100.0,35
run_2_repetition_0,DONE,GDS3900_TPM.csv,CPU,244691,3527421952,4088.759490966798,4088.759490966798,0,6.99288377280138,3.1110204081632653,100.0,29
run_3_repetition_0,DONE,GDS3900_TPM.csv,GPU,2201,2786664448,88.64659447460937,39.711761474609375,48.934833,11.698264724933185,12.461538461538462,100.0,25
run_4_repetition_0,DONE,low_spar_TPM.csv,CPU,20075,4758269952,831.5244903564453,831.5244903564453,0,48.32615559124479,4.588235294117647,100.0,23
run_5_repetition_0,DONE,low_spar_TPM.csv,GPU,4803,3212832768,199.52623327246093,76.72312927246094,122.80310399999999,9.447029751080734,9.384615384615385,100.0,24
run_6_repetition_0,DONE,high_spar_TPM.csv,CPU,20087,4800327680,828.3051605224609,828.3051605224609,0,48.15677032327535,4.666666666666667,100.0,24
run_7_repetition_0,DONE,high_spar_TPM.csv,GPU,4803,3228119040,193.38602608007812,76.92288208007812,116.463144,9.305675440109693,9.461538461538462,100.0,24
run_8_repetition_0,DONE,high_spar_CPM.csv,CPU,19916,4738961408,823.5127410888672,823.5127410888672,0,48.297123674118865,4.653465346534653,100.0,24
run_9_repetition_0,DONE,high_spar_CPM.csv,GPU,4802,3214163968,191.30641342382813,75.08840942382812,116.218004,9.16135832781975,10.076923076923077,100.0,24
run_10_repetition_0,DONE,low_spar_CPM.csv,CPU,20108,4767211520,835.1523528632813,833.2219848632812,1.930368,47.97050376923061,4.578431372549019,100.0,24
run_11_repetition_0,DONE,low_spar_CPM.csv,GPU,4803,3261407232,193.56789763964662,77.62828063964662,115.939617,9.284515445048992,11.23076923076923,100.0,30
run_0_repetition_1,DONE,GDS3900_CPM.csv,CPU,21808,3028611072,326.22721085546874,324.09002685546875,2.1371840000000004,7.5167257576375395,4.531531531531532,100.0,23
